RATING,TITLE,CREDIT,BOXOFFICE,YEAR
25,Ben-Hur,Jesus,26.4,2016
42,Jane Got a Gun,Fitchum,1,2016
48,The 33,Laurence Golborne,9.2,2015
56,Focus,Garriga,50.3,2015
47,Rio 2,Tulio,113.7,2014
44,300: Rise of an Empire,Xerxes,91.1,2014
61,The Last Stand,Frank Martinez,12.1,2013
23,What to Expect When You're Expecting,Alex,41.2,2012
12,There Be Dragons,Oriol,1.1,2011
72,Rio,Tulio/Soccer Announcer,143.7,2011
71,I Love You Phillip Morris,Jimmy,2.1,2010
8,Post Grad,David Santiago,6.3,2009
67,Che: Part One (The Argentine),Raul Castro,1.6,2009
79,Che: Part Two (Guerrilla),Raul Castro,2.1,2008
68,Redbelt,Bruno Silva,2.3,2008
60,300,Xerxes,210.6,2007
63,Love Actually,Karl,59.4,2003
42,Charlie's Angels - Full Throttle,Randy Emmers,100.7,2003
